name_he,code,name_en
אבו ג'ווייעד (שבט),967,Abu Juway'ad
אבו גוש,472,Abu Ghosh
אבו סנאן,473,Abu Sinan
אבו סריחאן (שבט),935,Abu Surayhan
אבו עבדון (שבט),958,Abu 'Abdun
אבו עמאר (שבט),1042,Abu 'Ammar
אבו עמרה (שבט),932,Abu 'Amra
אבו קורינאת (יישוב),1342,Abu Qureinat
אבו קורינאת (שבט),968,Abu Kuraynat
אבו רובייעה (שבט),966,Abu Rubay'a
אבו רוקייק (שבט),961,Abu Rukayyek
אבו תלול,1375,Abu Tulul
אבטין,652,Ibtin
אבטליון,1275,Avtalyon
אביאל,679,Avi'el
אביבים,1115,Avivim
אביגדור,819,Avigedor
אביחיל,175,Avihayil
אביטל,2052,Avital
אביעזר,1070,Avi'ezer
אבירים,1220,Abbirim
אבן יהודה,182,Even Yehuda
אבן מנחם,1081,Even Menahem
אבן ספיר,783,Even Sappir
אבן שמואל,400,Even Shemu'el
אבני איתן,4011,Avne Etan
אבני חפץ,3793,Avne Hefez
אבנת,3786,Avenat
אבשלום,1311,Avshalom
אדורה,3759,Adora
אדירים,113,Addirim
אדמית,1068,Adamit
אדרת,1123,Adderet
אודים,446,Udim
אודם,4010,Odem
אוהד,1046,Ohad
אום אל-פחם,2710,Umm al-Fahm
אום אל-קוטוף,2024,Umm Al-Qutuf
אום בטין,1358,Umm Batin
אומן,1108,Omen
אומץ,680,Omez
אופקים,31,Ofaqim
אור הגנוז,1294,Or HaGanuz
אור הנר,67,Or HaNer
אור יהודה,2400,Or Yehuda
אור עקיבא,1020,Or Aqiva
אורה,780,Ora
אורון,1771,
אורות,2012,Orot
אורטל,4013,Ortal
אורים,403,Urim
אורנים,882,Oranim
אורנית,3760,Oranit
אושה,278,Usha
אזור,565,Azor
"אזור אילון מ""א 4",1852,
"אזור אילון מ""א 52",1851,
"אזור אילון של""ש",1853,
"אזור אשדוד מ""א 29",1922,
"אזור אשדוד מ""א 33",1921,
"אזור אשדוד של""ש",1923,
"אזור אשקלון מ""א 36",1924,
"אזור אשקלון מ""א 37",1926,
"אזור באר שבע מ""א 41",1937,
"אזור באר שבע מ""א 51",1938,
"אזור באר שבע של""ש",1939,
"אזור בשור מ""א 38",1933,
"אזור בשור מ""א 39",1935,
"אזור בשור מ""א 42",1934,
"אזור גלילות מ""א 19",1907,
"אזור גרר מ""א 39",1931,
"אזור גרר מ""א 41",1929,
"אזור גרר מ""א 42",1930,
"אזור זכרון יעקב מ""א 15",1866,
"אזור זכרון יעקב של""ש",1867,
"אזור חדרה מ""א 14",1873,
"אזור חדרה מ""א 15",1872,
"אזור חדרה מ""א 45",1871,
"אזור חדרה של""ש",1874,
"אזור חולון של""ש",1909,
"אזור חיפה מ""א 12",1860,
"אזור חיפה של""ש",1862,
"אזור חצור מ""א 1",1813,
"אזור חצור מ""א 55",1814,
"אזור חצור של""ש",1815,
"אזור יחיעם מ""א 2",1848,
"אזור יחיעם מ""א 4",1846,
"אזור יחיעם מ""א 52",1847,
"אזור יחיעם מ""א 56",1849,
"אזור יחיעם של""ש",1850,
"אזור ים המלח מ""א 51",1942,
"אזור יקנעם מ""א 13",1836,
"אזור יקנעם מ""א 9",1835,
"אזור כינרות מ""א 3",1805,
"אזור כנרות מ""א 1",1816,
"אזור כנרות מ""א 6",1817,
"אזור כנרות של""ש",1818,
"אזור כרמיאל מ""א 2",1843,
"אזור כרמיאל מ""א 56",1844,
"אזור כרמיאל של""ש",1845,
"אזור לכיש מ""א 34",1919,
"אזור לכיש מ""א 35",1917,
"אזור לכיש מ""א 41",1920,
"אזור לכיש מ""א 50",1918,
"אזור מודיעין מ""א 25",1887,
"אזור מודיעין מ""א 30",1890,
"אזור מודיעין של""ש",1895,
"אזור מלאכי מ""א 33",1911,
"אזור מלאכי מ""א 34",1915,
"אזור מלאכי מ""א 35",1913,
"אזור מלאכי מ""א 50",1914,
"אזור נהרייה מ""א 4",1855,
"אזור נהרייה של""ש",1856,
